,text,sentiment
14225,"When they cancel your trains on a regular, tell you you can claim ‘delay repay’ and then tell you that you’ve made an ‘unusually large number of claims’....might be time to start sorting your SHIT service and LIES about compensation out @TLRailUK https://t.co/Kq6Ek1v8pT",negative
6987,"@TLRailUK One of the most irritating things about delays is the lack of information. Sitting on a delayed train at Brighton today after several cancellations, we had no idea if or when it was going to leave. Even if the driver said they didn't know either, it would be something!",negative
11019,"@martin161087 @delayrepaygenie @TLRailUK That’s a different driver, the one who was driving casually walked up over 20 minutes late",negative
8559,@TLRailUK given waiting times are you going to provide heating on your platforms a serious question,neutral
16070,@TLRailUK this awful young guy’s response to being asked to stop reposing muddy boots on a seat was “the train’s a bit shit so I think I’ll do what I want”. Why not put up signs on the trains stopping this and get some inspectors on board. https://t.co/nmIU6TsmMY,negative
248,"#TLUpdates - Due to train crew being delayed at Finsbury Park, northbound services are being disrupted. Please listen to all station announcements, as northbound trains may use different platforms compared to those usually served. Please use your normal route for travel.",neutral
2599,"@AlistairDearson @TLRailUK @SouthernRailUK @TramsLondon Sorry for the delays, this is causing disruption to all lines, and crews who cross work other lines too. ^g",neutral
4238,@SouthernRailUK @TLRailUK There has been a dead bird rotting for a few days on the track next to ECR platform 2 right where the 2nd door from the London-end of the train tends to be. Serious health hazard. Please do something about it. Thanks.,negative
15761,"@TLRailUK Morning, the last few times I’ve been on your services, the driver makes an announcement and nobody can hear it - can you ask the drivers to speak properly in to the microphone so we can actually here about the delay?! Thanks",neutral
9554,@TLRailUK waiting at West Hampstead thameslink. No updates on the train stuck on the platform. Suddenly you change the 7.36 Orpington train with 30 seconds to switch platforms. Why?? I’ve now missed my train and having to wait another 20 mins.,negative
1064,(Thameslink Update) 11:22 St Albans City to Sutton Surrey due 12:47 - 11:22 St Albans City to Sutton Surrey due 12:47 has been delayed at Mitcham Eastfields and is now 10 minutes late.,negative
6880,"@TLRailUK Not getting any information or advice, just apologies for delayed, ie non running trains",negative
12654,Just been doing the maths. Since I started keeping records in February I’ve lost a day and half of my life - 36 and a bit hours - to @TLRailUK delays.,negative
8210,@TLRailUK any idea what the delay at Haywards Heath is...?,neutral
14205,"What is the point of a travel information website if the info is always wrong. Checked the @TLRailUK website 2 mins before and it said train was running 2 mins late. The next train is showing as delayed and the one after is the next train, so I’ll be late for my appointment",negative
8909,@TLRailUK it’s not hot enough yet for the air conditioning to be on full blast! Freezing on the Rainham train from Slade Green which just left!,negative
12287,Hey @TLRailUK @networkrail Can you please get someone To remove the offensive Graffiti on the bridge at Flitwick?😊,neutral
1923,1359 LNER train to Kings Cross: On time - plat 2 1358 LNER train to Leeds: expected 1400 - plat 3 1403 Thameslink train to Cambridge: Delayed - plat 4 1404 LNER train to Kings Cross: On time - plat 2 1408 Thameslink train to Cambridge: On time - plat 4,neutral
10910,@kdonachie40 @TLRailUK No announcements and no apology !!!,negative
14243,"Whoever designed Thameslink trains for commuters with no tables should take a long, hard look at themselves in the mirror @TLRailUK https://t.co/pt1cMwTLUe",negative
1702,0914 Great Northern train to Kings Cross: Delayed - plat 1 0915 Great Northern train to Welwyn Garden City: expected 0944 - plat 8 0929 Great Northern train to Kings Cross: expected 0944 - plat 1 0942 Thameslink train to Cambridge: expected 0944 - plat 7,neutral
1175,(Thameslink Update) 15:28 Rainham Kt to Luton due 18:05 - 15:28 Rainham Kt to Luton due 18:05 is being delayed at Dartford River Crossing Bridge.,negative
9761,"@TLRailUK why are you running an 8 car train at 9am from Three bridges to Bedford, it would have set off in rush hour from Brighton no seats as usual, is 1st class declassified as it’s packed again running a service for your benefit no the passenger standing at £4000 per year",negative
4368,@SteveWhiteRail @geofftech @alice_attwood @TLRailUK I mean we should beat Circle Line. Blackfriars to St Pancras in how quick... how frequent and without the timing wait at Aldgate... surely we got this?!,negative
15581,@TLRailUK And why do the ones who don’t wear face masks always have to talk the loudest and walk up and down the carriage spreading their germs everywhere? I’ve had tomove seats twice on train this morning,negative
5507,"@TLRailUK Because of cancellations due to train crew shortages, the 1749 BFR-HRH was very uncomfortable and unsafe - one sudden braking could have caused multiple injuries . Please explain why you still do bot have enough drivers to operate properly.",negative
13088,"Right, let’s see what the excuse is today for more delays and cancellations @TLRailUK",neutral
494,#TLUpdates - Trains on our route between Rainham and London Bridge route may still experience delays and short notice changes cancellations as we work to return trains to their normal timetable. ℹ️Live service updates👇https://t.co/ZhZzDSg7wG,negative
7550,@TLRailUK The over 70 minute delay 21.34 (or something like that) from Blackfriars to Sutton,negative
14286,Why is the 0804 @TLRailUK from Blackfriars to Luton delayed?,neutral
2533,@13milepost @LambrettaGT205 @ccf_cricklewood @nw2coffee @TLRailUK @CamdenCouncil @petertaheri @Nazma_16_Rahman @WHampstead @WHampsteadLife @WHampsteadNDF @FlickRea @lornajane2 @Richard4FG @jillybean2009 I am sure we can reach the rubbish near entrance with some litter pickers. Cake sounds great! https://t.co/gkKe0VBEfb,neutral
99,"#Peterborough rail commuters were among the worst affected by cancellations and delays, according to new research https://t.co/uPNa3IHDje",negative
1142,(Thameslink Update) 14:28 Rainham Kent to Luton due 17:05 - 14:28 Rainham Kent to Luton due 17:05 is being delayed at St Albans City.,neutral
12529,I'm intrigued by the connection this stained glass window has with the railway in #Edenbridge #Kent Such an unusual story. @EdenMuseumKent Find out more here: https://t.co/TPvc3qX5Uq https://t.co/tubpsRDCN8,neutral
3538,@MartinJarrold @crazisaffa @TLRailUK Agreed. Nothing wrong with the air conditioning on this train.,neutral
14375,Your onboard wi-fi were broken since yesterday. When are you going to repair?? @TLRailUK https://t.co/xd4IHcMkVs,negative
14937,"⚠️#TLUpdates - Services running through Potters Bar and Welwyn Garden City may be subject to delays of up to 30 minutes following an earlier broken down train. ℹ️Travel advice, service info and ticket acceptance👉https://t.co/ZrmSfPsDwC https://t.co/MBmLJp8VvW",negative
4465,"@TLRailUK 04:20 ex Peterborough, no heating in car 412132. Please turn it on!",negative
9710,@TLRailUK where is the relief driver? Stuck waiting at Luton.,negative
14893,⚠️#TLUpdates - Due to an operational incident at Purley all lines are disrupted. Services running via this station are subject to delays of up to 20 minutes and possible cancellations. ℹ️👇https://t.co/iYMraBkjSy,negative
13706,Thameslink update: 20:58 Rainham Kent to West Hampstead Thameslink due 22:51 is being delayed between Farringdon and St Pancras International. Download the Train Beacon iOS app today https://t.co/HH7mCmEhnH,negative
4068,@Se_Railway But you said it was delayed by 7 mins when it was only 4 mins. How is it fair that a 4 min delay turned into a delay over 10 mins because you couldn’t hold the Thameslink service 1 min? The 17:25 literally sat outside Gravesend waiting for the TL service to leave. Unacceptable.,negative
15453,"@StAlbansCycling @TLRailUK It’s possible that the message had been written on the floor for longer, like most commuters I normally get there in darkness so missed it until I happened to be there over the weekend.",negative
3207,"@GreyWolfDesignz @malin230990 @TLRailUK Hi Alex. Depending on the type of train, there is a mixture of location configurations for toilets on trains. ^A",neutral
9083,@TLRailUK on a packed/delayed train from East Croydon - Farringdon when a couple of your ‘officers’ scammed me out of paying £20. I had no choice but to sit in 1st class as everyone was jam packed like cattle. I wouldn’t mind but I pay 1000s a year for this delayed service!,negative
9844,@TLRailUK why is 9P44 delayed at DFD?,negative
4933,"@TLRailUK @Se_Railway Have announced that significant changes will be made to services on Thursday because of the predicted weather. Will you be doing the same for services to and from Rainham, Kent via Dartford and Woolwich?",neutral
2411,2135 Thameslink train to Three Bridges: Delayed - plat 1 2143 EMR train to Nottingham: expected 2144 - plat 4 2149 Thameslink train to Brighton: On time - plat 2 2205 Thameslink train to Gatwick Airport: On time - plat 3 2209 EMR train to Derby: On time - plat 4,neutral
8594,@TLRailUK have a funny habit of failing miserably just after the announcement of next years increased fares... the last week has been a complete joke,negative
15097,"@alice_attwood @chrisbates3 @standardnews @SouthernRailUK @TLRailUK @GNRailUK Can you pack those same trains with people shoulder to shoulder, not using a tissue to cough and sneeze, touching their face, remove the toilet paper, not have hot water in the loos or the hand dryers working etc. then check them again?",negative
13805,Thank god @TLRailUK have put the heating on,neutral
12387,"Hi @TLRailUK you need ventilation and separation to stop covid 19 spread, those new trains with giant cabins, no natural ventilation and unusually close seating are not looking so clever. Any slamming door rolling stock left?",negative
14086,VIDEO - we're really sorry for the delays to @SouthernRailUK and @TLRailUK on the Horsham line tonight. A defective joint on the live rail had to be fixed ASAP and this film shows why. It's all done now but knock-on delays are expected unfortunately. https://t.co/lrd4Kn9pmW,neutral
10703,"@geofftech @TLRailUK I have mask envy, where did you get it, or did you make it yourself. Great video very reassuring",neutral
8569,@TLRailUK good morning. Just wondering why the 07.13 from Gatwick to Peterborough is delayed this morning please?,neutral
1986,1542 Thameslink train to Peterborough: Cancelled 1548 Thameslink train to Horsham: Delayed - plat 4 1611 Thameslink train to Peterborough: On time - plat 1 1618 Thameslink train to Horsham: On time - plat 4 1641 Thameslink train to Peterborough: On time - plat 1,neutral
6327,@TLRailUK I use any method possible to get from London to Hitchin. If Thameslink was reliable I wouldn’t have to use other carriers. However the services in and out are constantly sub standard. You still haven’t explained what is causing the delay,negative
11718,"Another morning of delays on the @TLRailUK Wimbledon loop, held at signals all the way north. Pity @networkrail operations can't actually deliver the service they promised in the timetable, rather than delaying passengers at red lights day after day.",negative
8243,@TLRailUK appalling service. 21:35 LBG to BTN. All 5 toilets on this train are out of order. This is unacceptable. https://t.co/B5yrrgJl7k,negative
1267,(Thameslink Update) 17:28 Rainham Kent to Luton due 20:06 - 17:28 Rainham Kent to Luton due 20:06 is being delayed between Chatham and Rochester.,negative
3242,"@HiteshMehta93 @TLRailUK Comfey seats, come on !",negative
957,(Thameslink Update) 08:22 St Albans City to Sutton Surrey due 09:47 - 08:22 St Albans City to Sutton Surrey due 09:47 has been delayed at St Albans City and is now 20 minutes late.,negative
1704,0914 Great Northern train to Kings Cross: Delayed - plat 1 0931 Thameslink train to Cambridge: Delayed - plat 7 0919 Great Northern train to Moorgate: expected 0933 - plat 2 0924 Thameslink train to Peterborough: expected 0934 - plat 7,neutral
3114,"@GNRailUK @TfL @LNER ⚠️ #TLUpdates - Two of the four lines between Alexandra Palace & Welwyn Garden City are open (one in each direction) Services may be cancelled, delayed up to 60 mins or altered Disruption expected til the end of the day ℹ️ Info & travel advice 👇 https://t.co/qDQVHuldlY",neutral
1994,1548 Thameslink train to Brighton: Delayed - plat 1 1555 West Midlands Trains service to Bletchley: On time - plat 1A 1602 Thameslink train to Gatwick Airport: On time - plat 2 1606 Thameslink train to East Grinstead: On time - plat 3,neutral
14227,"When you get out of work a bit earlier but, as usual, your #thameslink train is delayed.",negative
4135,@Se_Railway you are an utter disgrace. You delay train to strood by putting a Thameslink in front of it and then let Medway valley line train leave as we pull into the station. Happy Valentine’s Day. You are clearly single you numpties.,negative
8265,@TLRailUK are we supposed to be mindreaders? Sat on the 23:11 Horsham to Peterborough train and at 23:20 decided to get off and find out what the delay was. Apparently it’s cancelled to Ifield and the next train was leaving from another platform! Not a single announcement!,negative
8511,"@TLRailUK driver announced at London blackfriars, this train wont be calling at London bridge. Anyone for London bridge, it's a nice 20 min walk (in cold). Ha ha",negative
11764,"At Kentish Town @TfL @TLRailUK @TfLRail platform, and this guy literally is smoking among the people waiting for the train. When we tell him, you can't smoke here, he says, Says who and what can you do about it? @BTP be aware https://t.co/rhXO9gQ6kD",negative
3185,"@GdeCharny @TLRailUK Hi Rob, sincere apologies for the lack of info given by staff. The train will not call due to being severely delayed because of passengers causing a disturbance on the train earlier. ^Lola",negative
7780,"@TLRailUK Well, the next train was 15:41 as it's a Sunday service so I would've been delayed by half an hour minimum. I've had to take alternative transport instead. Does that entitle me to compensation?",neutral
1839,1122 Thameslink train to Brighton: expected 1200 - plat 2 1201 Thameslink train to Cambridge North: On time - plat 7 1203 Great Northern train to Welwyn Garden City: On time - plat 8 1208 Great Northern train to Moorgate: Delayed - plat 1,neutral
1212,(Thameslink Update) 16:22 St Albans City to Sutton Surrey due 17:47 - 16:22 St Albans City to Sutton Surrey due 17:47 is being delayed at St Albans City.,neutral
7179,"@TLRailUK Somewhere between London Blackfriars and Sutton. Wait, exactly how many 22:51 Thameslink services left London Blackfriars a minute early?",negative
2048,1628 Great Northern train to Moorgate via Hertford North: On time - plat 4 1629 LNER train to Newark North Gate: Delayed 1632 Thameslink train to Brighton: expected 1636 - plat 1 1638 Thameslink train to Royston: On time - plat 4,neutral
6445,"@TLRailUK If your speakers don't work on your trains, maybe change the displays before setting off!? Just had an announcement at Blackfriars nobody could hear. Displays still showing London Bridge. Now on a long journey to East Croydon, not my final destination of Falconwood!",negative
2229,1847 Thameslink train to Horsham: expected 1855 - plat 1 1855 LNER train to Bradford Forster Square: Delayed - plat 3 1859 LNER train to Kings Cross: expected 1902 - plat 2 1900 Thameslink train to Cambridge: expected 1902 - plat 4,neutral
16406,Dear @tlrailuk your trains are so f’ing overcrowded that a) surely its dangerous and b) I can’t actually get to the 1st class area which I paid for in the hope of a seat and a table to work on.,negative
6597,@TLRailUK I’ll now be 30 mins late to work having to get the next train and will have to make up that 30 mins staying late this evening. & before you shout about delay repay.. No! The miserly £2.80 doesn’t cut it. Even the lowest hourly wage in London is above that. You should pay my time!,negative
7864,@TLRailUK Why am I stuck on a train creeping Northbound towards Hendon? Fast trains appear fine. As usual NO announcements from driver?,negative
6345,"@TLRailUK I was sent this message originally because your system doesn't seem to be able to provide Delay Repay to someone who buys tickets for two travellers in one transaction, who are then delayed and want to make a claim for those two tickets. 1/2",negative
11026,@mattfromlondon @TLRailUK I read three of them while waiting for a @TLRailUK train to arrive.,negative
15506,@TLRailUK @GNRailUK Apologies for the picture of a computer screen! Realised I don’t know what to put in for the cost either https://t.co/pCOME65Nma,neutral
14107,Waiting for @TLRailUK @NetworkRailSE Blackfriars Impressive frequency and good information. Trains zooming in and out. Suspect passenger numbers on rise. Investment does pay off! Plus mesmeri view @RAIL https://t.co/juqQ5kNLkd,negative
6059,@TLRailUK Horrible Wi-Fi on your trains!!!!!!! https://t.co/MPGfZI7n0e,negative
5136,@TLRailUK @acinderellaline @NetworkRailSE Thank you. I use that route daily. I'm surprised it was not advised in advance! Or did I miss the announcement?,neutral
14026,"Train delayed, no information, Thameslink pathetic as always",negative
14082,"Usual dreadful @TLRailUK service. The train is ""delayed"" but nobody can say by how long. https://t.co/rT68OvO7Tx",negative
629,#Trains: Delays of up to 30 mins + cancellations @TLRailUK thru' #Blackfriars after overhead wire damage. Fi,neutral
7035,"@TLRailUK Please could you advise what I claim for on delay repay for London Bridge 17:55 to Portslade this evening? I know whatever I claim myself, there will be an alternative you come up with. Thanks.",negative
6695,"@TLRailUK Just thought I'd bring some to graffiti inside a coach to your attention (Carriage 412111, 9R40 1432 Gatwick to Bedford) https://t.co/1cYF7h0ymq",neutral
1364,(Thameslink Update) 19:37 St Albans City to Sutton Surrey due 21:14 - 19:37 St Albans City to Sutton Surrey due 21:14 has been delayed between Streatham and Wimbledon and is now 11 minutes late.,negative
4812,@TLRailUK @HPDCommuters But it doesn’t explain why you have to drop Harpenden and delay my journey further.,negative
11585,A very helpful @TLRailUK driver just now only set the recorded announcement to say that the doors in this coach would not open at Norwood Junction as the train came to a halt. Then 30 seconds later the train departed. The people that wanted to leave are now going to London Bridge,negative
4284,@SouthernRailUK I’m on the late running thameslink service to east Croydon will you be holding the Southampton train or will I be delayed by an hour again,negative
3315,"@Jmasters1911 @TLRailUK I DO get it. But many people do not. You can choose where you work, but most people are too lazy to look for closer employment and thus think catching the train is somehow forced upon them. It's not, it's just the best option, even though it might be a rubbish choice.",negative
6489,"@TLRailUK It arrived Flitwick stuck on that screen, and remained stuck in that screen when I got off at Luton. Clearly broken which is shame as that would have been good info to show when train is actually at a red signal. Fix problems before adding any new screens please.",negative
14560,"⚠️ #TLUpdates - Due to a broken down train between Finsbury Park and St Pancras International the line is blocked. Services running between these stations may be cancelled, delayed or terminated at and started back from London Kings Cross. ℹ️ More information to follow.",negative
15891,"@TLRailUK Yes it’s still stuck. I’m on coach 3, currently approaching Kentish Town. The doors are only opening on the other side",negative
15054,✅#TLUpdates - Disruption caused by train crew being delayed due to a broken down train at Sevenoaks has now ended.,neutral
2207,1834 Thameslink train to Peterborough: Delayed - plat 2 1856 Thameslink train to Horsham: On time - plat 1 1904 Thameslink train to Peterborough: On time - plat 2 1926 Thameslink train to Horsham: On time - plat 1 1934 Thameslink train to Peterborough: expected 1947 - plat 2,neutral
3003,"@EssexCanning @GatwickExpress @nationalrailenq @greateranglia @TLRailUK @SouthernRailUK You do not want to be sitting on a train when it is cold outside and blowing a gale, to have the doors open at every station, and consequently blasting you with the chill gusts it generates.",neutral
3602,@NetworkRailSE #TLUpdates - @NetworkRailSE teams have resolved the signalling fault and trains can now run through the area normally again. Services that were affected may remain subject to delays of up to 10 minutes. ℹLive service updates👇https://t.co/yOa7Z7MlMx,neutral
10686,@fxx63 @tlupdates @TLRailUK It really doesn’t work for the commuter. Recently ALL London Bridge trains were cancelled. My journey consisted of a selection of packed trains to Victoria then underground and bus to reach my destination. Because I didn’t tap out at my regular station no delay was recorded!,negative
7216,@TLRailUK Still no announcements.,negative
7687,"@TLRailUK Turned up with 3 minutes to get the 20:29 Luton-St Pancras International train to be told it's left. Explanation? ""These boy's don't hang around"" ?? Excuse me for thinking 20:29 departure meant 20:29 departure I'm used to delays but this is another level of ridiculous",negative
8140,"@TLRailUK an announcement at Three Bridges this morning that this train has been cancelled. I’d be rather surprised if it did run through Three Bridges, since the old East Grinstead Line to Three Bridges closed some 50 years ago! Ghost train 👻 😳 https://t.co/7MIfFfTM8E",neutral
14675,⚠️ #TLUpdates - One of the lines is now blocked at Knebworth due to a fault on the same train Services through this station may be delayed by up to 15 mins Train crew are discussing the fault with our Fleet engineers. The train may terminate early as a result,negative
472,#TLUpdates - Train services running between these stations on the line towards Three Bridges are subject to delays of up to 5 minutes to allow @NetworkRailSE to asses a reported defect on the track. ℹ️Live service updates👇https://t.co/wRS45YgoS3,negative
8052,@TLRailUK You lot are rubbish at your job you know. Any other industry and you would be long gone. Being consistently this bad is honestly embarrassing. Also this adds salt to the wound you just made from my monthly season ticket cost. Criminal to charge so much yet deliver so poorly,negative
991,(Thameslink Update) 09:00 Rainham Kt to Luton due 11:31 - 09:00 Rainham Kt to Luton due 11:31 is being delayed at Rainham Kt and is now expected to be 15 minutes late.,negative
7710,"@TLRailUK Unfortunately, I know that the BTP want far more info than I can give them. Of course, the other problem is a lack of gangway doors, this means that the awful smell wafts down the the train... do you not have REOs?",negative
396,"#TLUpdates - Services in the area are expected to be diverted onto the slow/stopping southbound line, with delays through Gatwick Airport whilst this happens. 🎫 Thameslink tickets will be accepted on @SouthernRailUK at no extra cost this morning. ℹ️👇 https://t.co/iYMraBkjSy",neutral
15586,"@TLRailUK Are u 100% once before the driver just didn’t stop, can u check with the driver or make an announcement there so he/she def stop at WH",neutral
