,text,topic
63,#Cricklewood - Trains between Luton and London St Pancras International may be cancelled or delayed by up to 15 minutes. A reduced Thameslink service is operating to Cricklewood towards London. https://t.co/TF0cCx2UME,delays
64,#Crossrail construction activity at #Farringdon now in its final stages with the station in an advanced state of completion. The full height hoarding separating the Thameslink ticket hall from the @Elizabethline has been reduced in height to enable ceiling works to be completed. https://t.co/8ckz671ISh,none
65,"#Delays of up to 20 minutes and some #cancellations on #Southern between #SouthamptonCentral and #Havant due to over running #engineering #works. Tickets being accepted on local buses, South Western and Thameslink services.",delays
67,#EastCroydon #LondonBridge #Victoria use https://t.co/Fh7tpMQDfK to check all your #delayrepay claims it’s free a quick for all @SouthernRailUK @TLRailUK @GatwickExpress services,tickets/seat_reservations
66,#EastCroydon #LondonBridge #Victoria use https://t.co/Fh7tpMQDfK to check all your #delayrepay claims it’s free a quick for all @SouthernRailUK @TLRailUK @GatwickExpress services,delays
68,#EastGrinstead - Replacement buses are supplementing some trains which are heavily delayed or cancelled between different locations as required. These are not running to timetables. Ticket acceptance remains in place for Southern customers but is no longer in place for Thameslink,delays
69,"#EastGrinstead - Thameslink services are no longer being affected by a passenger being taken ill earlier today. Southern services between East Croydon and Uckfield / East Grinstead continue to be delayed by up to 30 minutes, cancelled or revised until 20:00.",delays
70,"#ForestHill - London Overground services are no longer affected by Southern and Thameslink services across the network may be delayed, cancelled or revised until approximately 22:00.",delays
15198,"#GNR sort out your WiFi, it’s really crap! Doesent work on the actual trains and only certain parts of the platform! @TLRailUK works at all points tbh....",wifi
71,#GNUpdates - All lines through the affected area are now open. Some evening Great Northern services between London Kings Cross and Peterborough may be delayed. You can check your journey before you travel⏱️👉https://t.co/5NDHft986Z https://t.co/cfn18Qygb7,delays
72,"#GXUpdates - Our services between Brighton & Gatwick are subject to delays of up to 25 mins currently due to a signalling fault identified by Network Rail @SouthernRailUK, @TLRailUK and @GatwickExpress all accepting each other's tickets ℹ️ More info 👇 https://t.co/TPYeKPRrM5",delays
73,"#GXUpdates - Services on the Southern, Thameslink and Gatwick Express networks will be very severely disrupted. Please anticipate service cancellations, delays and revisions. Ticket acceptance to follow.",delays
74,"#GXUpdates - Southbound services towards Gatwick Airport are expected to be diverted onto the slow/stopping line, with delays expected into the station whilst this happens. 🎫 Gatwick Express tickets will be accepted on @TLRailUK & @SouthernRailUK at no extra cost this morning.",delays
75,"#GatwickAirportTrains Delays of up to fifteen minutes on Gatwick Express, Southern, Thameslink and Great Western Railway, between Redhill and Gatwick Airport due to a broken rail. Services running through the station may be delayed at short notice.",delays
76,"#GatwickExpress, #Southern, #Thameslink and #GreatWesternRailway train services are affected because of a signalling problem in Earlswood in Surrey. There might be delays and cancellations so check before you leave. #HeartNews https://t.co/ErPmvVXCDn",delays
15199,#Govia #Thameslink fined £1m over Gatwick Express window death after man put head out of window. This is bacause there was no sign saying don't do it. Even I am looking at this and thinking really! It's a risk the average man in the street knows about. https://t.co/VptQibwcqQ,none
15200,#Govia #Thameslink fined £1m over Gatwick Express window death https://t.co/AGV0WsW0xt,none
15201,#Govia Thameslink Railway fined £1m after train passenger died sticking head out of carriage window https://t.co/m67f2zWjhs #news https://t.co/M8qi7EFqnN,none
77,#Hernehill on the class 700 to #LondonVictoria live this train 🚞 air conditioning fab so hot outside @TLProgramme @TLRailUK limited stop service https://t.co/TOLfmDv8Mu,air conditioning
78,"#InvisibleDisabilitiesWeek After being threatened with violence on a Train near cambridge last year for faking my disability, BT police came to my rescue, I now wear a bodycam, it has helped & it continually records, my LNER, Thameslink / TFL priority seat badges have no impact",service
79,"#JUBILEELINE Severe delays on Jubilee Line due to electrical supply problems. Tickets being accepted on local bus, DLR, Southeastern and Thameslink services.",delays
80,#KentishTown - A fault with the signalling system between West Hampstead Thameslink and Kentish Town is causing disruption to trains between these stations. Trains between St Albans and London St Pancras International may be delayed. Disruption is expected until 10:30.,delays
81,#Lambeth There are delays on the #A205 South Circular - Thurlow Park Road in #TulseHill after a lorry container became wedged underneath a Network Rail railway bridge. @LondonFire are at the scene trying to free the lorry. Thameslink trains are being affected. @number37 https://t.co/tKYubYm7AZ,delays
82,"#Latest #News on #Southern, #Thameslink & #GatwickExpress service disruption (due to signal failure at #EastCroydon): Services should be running soon but with delays. A few trains calling at Farringdon. Rail operators say check National Rail website. #Brighton #Travel #Transport",delays
83,#Lewisham - Southeastern services may be diverted via alternative routes to work around the disruption which could cause congestion and delays for Thameslink,delays
84,#LondonBridge UPDATE: Emergency services dealing with an incident means no trains to or from Cannon Street currently. @TLRailUK are also disrupted this morning. Charing Cross services are delayed but running.,delays
85,"#LutonAirportParkway - Thameslink trains between London St Pancras International and Bedford are returning to normal, but may be delayed or cancelled until approximately 23:30. More details: https://t.co/C1CqsyipAg",delays
86,"#NewBarnet - The fault with the signalling system in the New Barnet area have been resolved. As trains return to normal, Great Northern & Thameslink serves running between Stevenage and London via Welwyn may be delayed bu up to 15 minutes or cancelled.",delays
87,"#NewCrossGate - Although all lines have now reopened following the earlier track problems, Thameslink services may continue to be delayed by up to 30 minutes, cancelled or revised until 21:00. Due to congestion, this is causing similar disruption on Southern services too.",delays
88,#NewCrossGate - Southern and Thameslink services across many routes are being delayed by up to an hour. You are strongly advised to check your journey before you travel and allow extra time where possible.,delays
89,"#News re. #Southern, #Thameslink & #Gatwick Express service disruption (due to signal failure at #EastCroydon): Services should be running soon but with delays. A few trains are calling at #Farringdon. Rail operators say check the National #Rail website. (#London #Railway #Train)",delays
90,"#News re. #Southern, #Thameslink & #GatwickExpress service disruption (due to signal failure at East #Croydon): Services should be running soon but with delays. A few trains calling at Farringdon. Rail operators say check National Rail website. (#Trains #Railways #Sussex #Surrey)",delays
91,"#Northernline The Northern Line has minor delays due to a faulty train at Tooting Broadway. Tickets are being accepted though on local buses, Southern train services and Thameslink services though.",delays
92,"#NorwoodJunction - All lines have now reopened following earlier signal problems. Southern and Thameslink services may continue to be delayed by up to 15 minutes whilst London Overground may continue to be delayed by up to 120 minutes, cancelled or revised until 21:00.",delays
93,"#NorwoodJunction - London Overground services are no longer affected by this incident. Southern and Thameslink services may continue to be delayed by up to 10 minutes, cancelled or revised until 18:00.",delays
94,"#NorwoodJunction - Southern, Thameslink and London Overground services through Norwood Junction may be delayed by up to 15 minutes, cancelled or revised until 20:00 due to signal problems.",delays
95,"#Orpington - Thameslink services may be delayed by up to 10 minutes, terminated short of their original destination or will be cancelled. https://t.co/gQgzMrPEft",delays
96,"#Otford - All lines have now reopened between Bromley South and Sevenoaks / Maidstone East however, Southeastern and Thameslink services between these stations may continue to be delayed by up to 15 minutes, cancelled or revised until 18:45.",delays
97,"#Oxted - Southern and Thameslink services between East Croydon and Oxted May be delayed by up to 60 minutes, cancelled or revised until the end of service this evening.",delays
98,"#PeoplesVote #Peterborough has a coach for come straight back marchers (may be one empty seat but that might be gone now), cars (for the doing something else laters) and some people on @LNER or @TLRailUK trains @peterboroughtel @BBCCambs @itvanglia More than last march, anyway.",none
99,"#Peterborough rail commuters were among the worst affected by cancellations and delays, according to new research https://t.co/uPNa3IHDje",delays
100,#PottersBar - All lines have reopened at Potters Bar. Great Northern and Thameslink services may continue to be delayed until 15:30.,delays
101,#PottersBar - Delays to Great Northern and Thameslink services between London and Cambridge / Peterborough can be expected to continue until 22:00. https://t.co/fnXZzRw6ZQ,delays
102,#PottersBar - Delays to Great Northern and Thameslink services between Stevenage and London via Welwyn until approximately 20:00. More details: https://t.co/yjTWRXsKfm,delays
103,"#RVHeadsUp Fri 28th February  🙌 10am Women in Leadership conference @SopwellHouse @JPAWorkspaces 🎫 8pm Ladies in Lavendar opens at the @AbbeyTheatreStA 🕺🏻10pm Tune into @RVDisco on Radio Verulam with Mark Laughlan  🌧 11o, drizzly 🚞 Delays: St Pancras line @TLRailUK https://t.co/YnwKb4pHzK",delays
15203,#RVHeadsUp Sat 7th March 🧒 10:30am Story time with childrens author Steven Vinacour at Books on the Hill. 🏉 4:45pm England vs Wales @KingHarryPub 🕵️‍♂️ 7pm Crime Scene Investigation @stalbansmuseums ☁️ 12C 🚆Revised time table due to engineering works @TLRailUK https://t.co/30WSeYWKhy,none
104,"#Ravensbourne Station @TLRailUK improvements set to happen. £80,000 is available with intention to spend on:- Bike wheel 'track' on steps to 'up' platform Seating + Canopy at south end of 'up' platform Soft landscaping Better train information signs available at street level 1/2",station
105,#Redhill - Delays and cancellations to train services after a signal fault at Redhill. -Great Western Railway ticket holders can use Southern services Redhill - Gatwick Airport -Southern & Thameslink ticket holders can use Bus 405 btwn Redhill & West Croydon.,delays
106,"#Royston - Following an earlier broken down train, Thameslink services through Hitchin may be delayed by up to 30 minutes, cancelled or revised until 11:00. This wasn't previously affecting services in our region but is now having quite a detrimental impact.",delays
107,"#SNUpdates #TLupdates Due to a fault with the signalling system between Gatwick Airport and Haywards Heath, train services running through these stations may be cancelled or delayed. @SussexTW https://t.co/rwp8heDrJQ",delays
108,"#SNUpdates - Due to a tree blocking tracks we are currently unable to offer certain services. Cancellations, delays and alterations to journeys are expected. Ticket acceptance is in place for London Overground/Underground & Thameslink Services. ℹ️👇 https://t.co/nUnTK53BEF",delays
109,"#SNUpdates - Please check planners prior to travel, as your journey will be delayed as trains have to run through the area at a slower speed. 🎫 Ticket acceptance is in place on the below: Southern & @TLRailUK mutually @TfL Buses & Underground via any reasonable routes",delays
110,"#SNUpdates - Services in the area are expected to be diverted onto the slow/stopping southbound line, with delays expected through Gatwick Airport whilst this happens. 🎫 Southern tickets will be accepted at @TLRailUK at no extra cost this morning. ℹ️👇 https://t.co/nUnTK53BEF",delays
111,"#SNUpdates - Services on the Southern, Thameslink and Gatwick Express networks will be very severely disrupted. Please avoid travelling through East Croydon at this time. Please anticipate service cancellations, delays and revisions. Ticket acceptance to follow.",delays
112,"#SNUpdates - Services through Haywards Heath are subject to delays of up to 25 mins currently due to a signalling fault identified by Network Rail @SouthernRailUK, @TLRailUK and @GatwickExpress all accepting each other's tickets ℹ️ More info 👇 https://t.co/8GoGtIidxz",delays
113,"#SWR Delays of up to ten minutes on South Western Railway between Surbiton and Wimbledon and replacement bus service running between Surbiton and Hampton Court due to burst water main near the line. Tickets being accepted on Southern, Thameslink, Underground and bus services.",delays
114,"#Shoreham - Due to a fault with the signalling system, Southeastern and Thameslink services run at a reduced speed in the London bound lines. Services may be delayed by up to 10 minutes or revised.",delays
115,"#SouthWestern Delays of up to 40 minutes and some cancellations on South Western Railway between London Waterloo and Clapham Junction due to earlier signalling problem at London Waterloo. Tickets accepted on local buses, London Underground, Great Western, Thameslink & Southern.",delays
116,"#Southern #Thameslink A person has been hit by a train been New Cross Gate and Norwood Junction resulting in all lines being blocked between these stations. Trains may be cancelled, delayed or revised. Disruption is expected until 11:00.",delays
117,#Southern #Thameslink Delays of up to 15 minutes between #Purley and Gatwick Airport due to broken down train at Redhill.,delays
118,#Southern #Thameslink Delays of up to ten minutes at Gatwick Airport due to a communication alarm being activated on a train earlier.,delays
119,"#Southern 10 minute delays and cancellations between Victoria and Clapham Junction. Trains not stopping at Wandsworth Common or Battersea Park due to signalling problem. Tickets being accepted on local buses, Southwestern Rail, Tramslink, London Underground and Thameslink.",delays
120,"#Southern Delays and some cancellations on Southern between Victoria and East Croydon due to signalling problem. Tickets being accepted on local buses, Southwestern Rail, Tramslink, London Underground and Thameslink services.",delays
121,"#Southern Delays of up to 15 minutes on Southern between Victoria and Clapham Junction due to signalling problem. Tickets being accepted on Local buses, London Underground, Tramlink, South Western Railway and Thameslink services.",delays
122,"#Southern Delays of up to 60 minutes and some cancellations on Thameslink between London Bridge and Norwood Junction due to emergency services dealing with an incident earlier at Penge West. Tickets being accepted on local buses, South Western and Tramlink services.",delays
123,"#Southern Delays of up to ten minutes and some cancellations on Southern between West Croydon and Streatham Common, and between East Croydon and Streatham Common due to trespass incident earlier at Selhurst. Tickets being accepted on London Bus, Tram and Thameslink services.",delays
124,"#StAlbans - All lines have reopened after a passenger was taken ill on a train between West Hampstead Thameslink and St Albans and as a result, the line is blocked. Train services are returning to normal, however they may still be delayed. Disruption is expected until 22:00",delays
125,#StAlbans - Disruption to Thameslink services between London St Pancras International and Luton until 12:00. Trains may be cancelled or delayed by up to 20 minutes. https://t.co/HpG90PD4fL,delays
126,#THAMESLINK Delays of up to 20 minutes Southbound between London Bridge and East Croydon due to track fault.,delays
127,#THAMESLINK Delays of up to 20 minutes at Purley due to passengers causing a disturbance on a train earlier. Services running through the station may be delayed at short notice.,delays
128,#THAMESLINK Delays of up to 20 minutes between East Croydon and Purley due to road vehicle hitting a bridge earlier.,delays
129,#THAMESLINK Delays of up to ten minutes between East Croydon and Gatwick Airport due to signalling problem.,delays
130,#THAMESLINK Delays of up to ten minutes between Norwood Junction and East Croydon due to points failure.,delays
131,#THAMESLINK Delays of up to ten minutes between Streatham and Mitcham Junction due to signalling problem.,delays
132,#THAMESLINK Delays of up to ten minutes between Wimbledon and Streatham due to trespass incident at Tooting.,delays
133,#THAMESLINK Delays of up to ten minutes on Thameslink between Gatwick Airport and East Croydon due to signalling problem at Earlswood,delays
134,#THAMESLINK delays of up to 15 minutes and some cancellations on Thameslink Southbound at Purley due to earlier signalling problem.,delays
135,#TLRailUK morning train delayed and overcrowded. Evening train delayed. Morons at #thameslink that drive the trains always put in the final hard brake to throw you down the carriage. Employer and employee on harmony - BOTH INCOMPETENT.,brakes
136,#TLRailUK still waiting at Northfleet 0455. Why is the 0427 service still sat at Gravesend???? Missed my connection now!!,delays
137,#TLUPdates - Some trains may depart from different platforms compared to those usually served. We will update the departure boards and automatic announcements as quickly as possible.,service
138,#TLUPdates- Those travelling from Gatwick Airport will need to take local buses to Three Bridges for train services. Local buses are expected to be extremely busy and you may have to wait to board. Station staff are also on hand to help with any queries.,delays
139,#TLUpdates #SNUpdates Due to a buggered rail Southbound through Brockley... Your journey maybe delayed this morning... Ohhhh how magical... @SouthernRailUK @TLRailUK @AndyBraben @CoyModemKnight,delays
140,#TLUpdates -  The broken down train is getting ready to move so the line will reopen shortly. Train services due to run between these stations will be subject to delays of up to 20 minutes or cancelled.ℹ👇thameslinkrailway.com/travel-informa…,delays
141,"#TLUpdates - - Please allow extra time to complete your journey this evening, we anticipate delays of up to 25 minutes.ℹ Full details including service updates 👇thameslinkrailway.com/travel-informa…",delays
142,"#TLUpdates - @TLRailUK have been advised by colleagues at Network Rail that due to a points failure at St Pancras International, services running to and from the station may be cancelled or delayed. https://t.co/XCTa6GgxrD",delays
15204,"#TLUpdates - A door fault has been identified on the service, and will be back on the move to the depot for repair imminently. This is affecting services towards Peterborough, Cambridge, West Hampstead Thameslink, St Albans, Luton and Bedford. 🎫 Ticket acceptance to follow.",service
143,#TLUpdates - A fault with the signalling system between Norwood Junction and London Bridge means services will be delayed on this line until the end of the day. Please check your journey before travelling. Additional information: https://t.co/iYMraBkjSy,delays
144,"#TLUpdates - A part of track has been reported as faulty & is currently being worked on by @networkrail operatives on site. Some services may pick up delays, however please continue to travel as normal but allow extra time to complete your journey. ℹ️👇 https://t.co/iYMraBkjSy https://t.co/QzrdmBbMWx",delays
145,"#TLUpdates - A points failure has been identified in the Cricklewood area. As a result of this, services running from London towards St Albans City are subject to delay as only one of the two lines are available in this direction.",delays
146,#TLUpdates - A rescue train was attached to the broken down train and this has now been taken back to the depot for to be repaired. All lines have reopened between Redhill and Gatwick Airport. Some delays and cancellations may still takes place as service recovers.,delays
147,#TLUpdates - A signalling problem in the Baldock area is causing some delays to southbound trains heading towards Stevenage and London.Services running through the station may be delayed by up to 15 minutes or revised.ℹ More information to follow.,delays
148,"#TLUpdates - A train at Farringdon was temporarily at a stand, delaying a number of trains behind it.It has now moved, but will cause some delays to services while we work to restore the train service.",delays
149,#TLUpdates - All lines are now open in the Royston area. Train services running through this station are returning to normal but some services have been delayed or revised. Live service updates 👇https://t.co/4c5oQebQ0X,delays
150,"#TLUpdates - All lines are open through between West Hampstead Thameslink & St Pancras International, however services in both directions remain subject to heavy residual delay this morning. Full details, including service updates & live departures ℹ️👇 https://t.co/iYMraBkjSy",delays
151,#TLUpdates - All lines have now reopened as emergency services have dealt with the line side fire. Services on this route may remain subject to residual delays and cancellations as we work to restore the normal service. Live service updatesℹ️👇https://t.co/StDwuN44Jx,delays
152,"#TLUpdates - All lines have now reopened between St Pancras International and London Blackfriars.Services can now run through the area, but may be subject to delay or cancellation as we work to return trains to the timetable.Travel adviceℹ👇thameslinkrailway.com/travel-informa…",delays
153,#TLUpdates - All lines have now reopened following a fault on a train at East Croydon. Services running through this station may still be subject to residual delays and cancellations as we work to get service back to schedule. Live service updates👇https://t.co/mFUaYU1bys,delays
154,#TLUpdates - An earlier issue with the signalling system has now been fixed. Trains are able to start running between Peterborough & Huntingdon. Please allow extra time for your journey as you may still experience delays whilst we work to recover the service.,delays
155,#TLUpdates - An incident has taken place in the Thornton Heath area which has involved the emergency services. Trains services are now moving however some services will be subject to delays and may also diverted away from the area. Please travel as normal.,delays
156,"#TLUpdates - An obstruction was identified near the points and this has now been cleared. Normal working service between the two stations is expected to resume imminently, however residual delays to services in the area are expected. ℹ️👇 https://t.co/iYMraBkjSy",delays
157,"#TLUpdates - As services are returning to normal we are still experiencing some delays and short notice alternations.🚍 To support with your journey this morning we do have rail replacement buses in place between Cambridge and Royston, calling at all stations starting at 8am.",delays
158,"#TLUpdates - At this time, please allow extra time to complete your journey. Services running through St Pancras towards London Blackfriars will be subject to delay.",delays
159,#TLUpdates - Between Bedford - London: There will be a reduced service running on the available lines. Please check journey planners before you travel. Due to limited platform availability trains will leave from different platforms so check screens at station before boarding.,none
160,#TLUpdates - Cambridge to Brighton and Horsham to Peterborough services are being affected by this and as a result cancellations and delays are to be expected on some services travelling towards Horsham and Brighton. 🎫 Additional ticket acceptance has been arranged below 👇 https://t.co/hX2rghzJKn,delays
161,#TLUpdates - Colleagues at Network Rail have informed us of a fault with the signalling system between Cambridge and Royston. The line towards Stevenage is currently disrupted and delays of up to 15 minutes can be expected. ℹ️ More information 👇 https://t.co/iYMraBkjSy,delays
162,"#TLUpdates - Delays and cancellations may still affect Thameslink services this evening. Please check your train is running, and consider using an alternative route if your train is cancelled. Live service updates and ticket acceptanceℹ️👇https://t.co/M5SlL3Zeap",delays
163,#TLUpdates - Delays of up to 10 minutes may occur through the West Hampstead area in the St Albans direction as all services use the fast/express line. Please allow extra time for travel this morning. ℹ️ Service updates and travel advice below 👇 https://t.co/iYMraBkjSy,delays
15205,"#TLUpdates - Delays of up to 15 minutes are expected and platform alterations will also be taking place. Please check journey planners and station information screens before departure if possible. Full details, service updates & live departures ℹ️👇 https://t.co/iYMraBkjSy",none
164,"#TLUpdates - Delays, alterations and cancellations may affect some services on the network following the earlier fault on a train. Ticket acceptance remains in place and first class is declassified on all Thameslink services until 20:00. Travel advice👇https://t.co/JgBzQVAa6R",delays
165,#TLUpdates - Disruption caused by a safety inspection of the track earlier today at Welwyn Garden City has now ended.Please ensure you claim delay repay if your overall journey time has been extended by 15 minutes or more 👇thameslinkrailway.com/help-and-suppo…,delays
166,"#TLUpdates - Due to a broken down train between Coulsdon South and Merstham, the line towards Redhill is disrupted.Services running through these stations may be cancelled, delayed or diverted.ℹ More information to follow.",delays
167,"#TLUpdates - Due to a broken down train between Potters Bar and Alexandra Palace, some services in both directions between these stations are expected to be delayed or revised. More information to follow once we have it.",delays
168,"#TLUpdates - Due to a fault on a earlier train at City Thameslink, services are being delayed. Please continue to use your normal route through the area - your journey time may be extended. Please check before you travel. ℹ️👇 https://t.co/iYMraBkjSy",delays
169,"#TLUpdates - Due to a fault on a train at Farringdon the line towards London Blackfriars is disrupted. Services are resuming, but residual delays can be expected in this area. More information to follow.",delays
170,#TLUpdates - Due to a fault on a train at London Kings Cross services running to and from the station may be subject to delays of approximately 15 minutes. Service updates & live departures ℹ️👇 https://t.co/iYMraBkjSy,delays
171,#TLUpdates - Due to a fault on a train at Mitcham Eastfields Station. Train services running through this station may be cancelled or delayed. More information to follow.,delays
172,#TLUpdates - Due to a fault on a train at Potters Bar the line towards King's Cross is blocked. Train services running through this station are subject to delays. More information to follow.,delays
173,"#TLUpdates - Due to a fault on a train at St Albans, services travelling in the northbound direction towards Bedford will be subject to delay or short notice alteration. ℹ️ More information to follow.",delays
174,"#TLUpdates - Due to a fault on a train at Stevenage, services through this station are subject to delay. More information to follow.",delays
175,"#TLUpdates - Due to a fault on a train at West Hampstead Thameslink, services running through this station southbound towards London may be subject to delay or cancellation. ℹ️ More information to follow once we have it.",delays
176,#TLUpdates - Due to a fault on a train between West Hampstead Thameslink and St Albans City. Train services running through these stations will be cancelled or delayed. More information to follow.,delays
177,"#TLUpdates - Due to a fault with the signalling system at Herne Hill trains have to run at reduced speed.Please allow extra time to complete your journey this evening. We anticipate delays of up to 10 minutes, for trains running in the Herne Hill / Loughborough Junction area.",delays
178,"#TLUpdates - Due to a fault with the signalling system at Hitchin, some lines towards Peterborough are blocked. Service delays of up to 10 minutes can be expected. More information to follow.",delays
179,"#TLUpdates - Due to a fault with the signalling system at Redhill, train services running through this station may be cancelled or delayed. ℹ️Please check your journey before travelling 👇 https://t.co/iYMraBkjSy",delays
180,"#TLUpdates - Due to a fault with the signalling system at Royston, trains have to run at reduced speed on all lines. Delays will be in effect as trains will be guided over the affected area by Network Rail signallers. More information to follow.",delays
181,#TLUpdates - Due to a fault with the signalling system between Gravesend and Strood trains have to run at reduced speed on all lines. Please allow extra time to complete your journey as services will be subject to delays. ℹ️ More Information 👇 https://t.co/VA3EjuwyB4,delays
182,"#TLUpdates - Due to a fault with the signalling system between Kentish Town and West Hampstead, Thameslink the line towards St Albans is disrupted. Train services running through these stations may be cancelled or delayed by up to 20 minutes. ℹ 👇 https://t.co/iYMraBkjSy",delays
