,text,topic
8130,@TLRailUK all trains from London Bridge to St Albans either cancelled or delayed. Assume we get FULL refund on our extortionate fucking tickets??,delays
4412,@TLRailUK #TLUpdates - We continue work to return services to normal but some services remain subject to delay and cancellation this evening.,delays
2398,2113 Great Northern train to Moorgate: Delayed - plat 1 2108 Thameslink train to Horsham: expected 2114 - plat 4 2114 Thameslink train to London Kings Cross: On time - plat 2 2114 Great Northern train to Welwyn Garden City: On time - plat 8,delays
1702,0914 Great Northern train to Kings Cross: Delayed - plat 1 0915 Great Northern train to Welwyn Garden City: expected 0944 - plat 8 0929 Great Northern train to Kings Cross: expected 0944 - plat 1 0942 Thameslink train to Cambridge: expected 0944 - plat 7,delays
11594,"Absolute nerve of @TLRailUK to reject #delayrepay claim the night when @mrdansmithy and I were detrained – with no info, bus replacemt or staff – at St Albans shortly b4 midnight and ended up spending £40 to get back to Luton in a taxi taking 2 other stranded passengers for free. https://t.co/qm9zIBHk27",delays
4351,@SteveWhiteRail @TLRailUK @TransportFocus I have now been to #Earlswood & #Salfords stations. At both Stations I had to inform passengers waiting on the platforms that there was no train service today. @BBCSurreyTravel @getsurreylive @CrispinBlunt @ClaireCoutinho,delays
2930,"@Debus42 @TLRailUK Wi fi, seat back tables and power points were not in the original spec when the government ordered the fleet. Wi fi is on the last built units. https://t.co/HBrfRP0GGQ this shows you what's available",plugs
11588,"Aaah the ole ""stuck behind a slow running Thameslink train"" excuse on today's #gatwickxpress #southernfail #delayrepay #delayexcusebingo @GrumpNow",delays
3495,"@LordRCf Our trains use platform mounted cameras to check the doors are clear and that the drivers can depart. Thameslink services are newer and have on board cameras, so don't need to use the equipment that has failed this evening ^PK",train_general
3862,@RachelMoll @TLRailUK I've had to help someone at @wagamama_uk before and in the end they were incredibly grateful and then manager came to my table to say that the bill (mine and my friend's!) was on them! Perhaps they should learn something from them!!,none
108,"#SNUpdates - Due to a tree blocking tracks we are currently unable to offer certain services. Cancellations, delays and alterations to journeys are expected. Ticket acceptance is in place for London Overground/Underground & Thameslink Services. ℹ️👇 https://t.co/nUnTK53BEF",delays
13104,Sat at Northfleet for 15 minutes without moving. Driver announces he has nothing to announce and ends by saying he’ll “leave us to it”. Quality service from @TLRailUK @Se_Railway and @networkrail,delays
4128,@Se_Railway who do we claim Delay Repay from when train from Dartford is Thameslink????,delays
12586,"Is Thameslink latin for ""every morning a delay?""😂",delays
2521,@100andthirty @SiTrill @lewbexrail @TLRailUK There no Tube trains that have been retrofitted with toilets. There is an old Underground train that has been retrofitted but worth stating that the SSL arent Ti e trains but Underground and the SSL is same gauge(-ish) as mainline. Tube is very different.,toilets
4455,@TLRailUK - waiting for 17.55 St Pancras to Oxted which vanished from the screens without any update - you f@ckers are just awful - another night I will not see my child - stop treating paying customers with such disdain and contempt,station
3964,@SadiqKhan @TfL @TLRailUK you strike again. Rubbish service and massive delays! Lol delay repay my £2 you’re a joke,delays
8087,@TLRailUK Your staff haven’t got a clue what’s going on and giving out wrong info. Also will you auto open all doors at every station so we don’t have to press contaminated buttons?,doors
4091,"@Se_Railway Still only 17, hoping to join when I’m 18. Love my trains even got a mask - yes it’s Thameslink they dont sell a southeastern one :( pic.twitter.com/ri1sKaWhUp",covid
14595,"⚠️ #TLUpdates - Due to a road accident near the railway between Three Bridges and Brighton, services between these stations are being delayed. ℹ️More information to follow.",delays
15541,"@TLRailUK @SouthernRailUK your service is rubbish, train cancelled, then late, then short, then standing all the way - thanks, you’re reallly doing a good job 👍",delays
11636,"All right another crazy train ride, group of kids, no masks, music blaring, motor scooters in the aisle wtf!!! @TLRailUK",covid
9867,@TLRailUK why is the 16:42 (delayed) Blackfriars to Bedford train running so slow out of London? #thameslink,delays
10307,@Zapaman @AlanMair5 @SeeYouDoigy @uk_domain_names The finishing date 18 months for Thameslink Programme was May 2019 and that will be achieved. Your on about the train service that was delayed but the specification other than amount of trains was never part of the TLP but for the operator to decide.,delays
16396,Couldn’t resist taking a screen grab of #sadiqkhan telling us about using #publictransport more and right underneath @TLRailUK telling us no trains are running!! 😂🤷🏽‍♂️ https://t.co/2hrpeknjZS,none
15019,✅ #TLUpdates - Disruption caused by a bicycle on the track between Swanley and Sevenoaks has now ended. Please remember to claim delay repay compensation if your overall journey has been delayed by 15 minutes or more. 👇 https://t.co/bEuo0tIgxA,delays
5077,"@TLRailUK @TLhelpgroup As expected , new timetable not working . Delays and cancellations. Please revert back to old timetable asap .",delays
1532,.@networkrail @TLRailUK which person designed these “seats”. Spikes would be more comfortable https://t.co/brOJ8Izywv,seats
3331,@JohnnyChater @LNER And announcements saying Thameslink is the best route into London wouldn’t go amiss either....,none
5527,"@TLRailUK But the quick trains (where the delay was) all running to time, with no delays? At least it will make good reading in your end of year PowerPoint telling us how well you have performed...",delays
12912,Not a BSOD but just as unhelpful... a Windows login screen on the parking machine today... (@TLRailUK) https://t.co/rKjFRv0TeS,none
5062,"@TLRailUK @TLRailUK can your slogan be ‘Every day, always a delay’ please! Yet again another delay, train arrived into BFR at 8:18am this morning so that’s 17 minutes late. How on earth will you cope next week with the Brighton line closed! Will you even manage to run trains",delays
11497,@transportgovuk @SW_Help Mark the floor all you like; try enforcing it on the 0752 to City Thameslink.,floor
7005,"@TLRailUK PIS on the 10:21 ECR-BED rear first class carriage 412151 is not working. Completely black screen. Same with the one in the standard class carriage in front, which also appears to have the same number.",announcements
3045,@GNRailUK 752 finsbury park to city thameslink travelling at walking pace and constantly stopping. Why? Also your wifi wont connect.,wifi
9904,@TLRailUK why is there excessive noise at crofton park it’s been going on more than 10 minutes,noise
14326,Wow @TLRailUK is awful. To get Delay Repay I had to make a Thameslink account! If travelling as a pair - even on a 2 Together Railcard - you claim SEPARATELY. I just claimed for mine and my partner's cancelled train and got declined as it's 'duplicate' even with 2 ticket numbers!,delays
10770,"@handee @JackJack_IOT @JonTetrino Also use nice new trains (Thameslink), that have Air Con (the deep level tube lines don't, Central etc) for the summer, signal most of the way in as you whizz past fields n stuff. Much nicer than Ealing being passed by bus after bus coughing out black smoke.",air conditioning
1603,07.43 FLT to LBG cancelled for no reason - no announcements. Thanks for making my already long commute even longer @TLRailUK #thelifeofadailycommuter #day6,station
7310,@TLRailUK Thank you. I am sending you a screenshot of the message I get when i choose the service. It says that there is a Thameslink replacement? pic.twitter.com/BVgEoWJ3Bo,none
16216,@iamthemunro @TLRailUK Didn’t get a reply here guys. Still trying to figure out how to unlock a door? Here’s a clue.... https://t.co/TGDBNEOcFt,service
8375,@TLRailUK can you please update as to what is happening with the Cambridge to London line? Lots of us waiting on platform at Letchworth and just being told there are delays and no other info. 🤷‍♀️,delays
12295,Hey @TLRailUK is it true your on board supervisors are not issuing seat upgrades any more ?,service
5478,@TLRailUK As a commuter Im aware of delay repay. Only this AM my SE service was cancelled. My concern is that it takes so long-term to get your driver's in the right place following an incident. I presume they must rely on train services rather than car to get to the correct location?,tickets/seat_reservations
5626,"@TLRailUK Currently at Luton, train platform 2 says Littlehampton, platform screens says Orpington - where is it going guys?????",station
14905,⚠️#TLUpdates - Following an operational incident between Cambridge and Royston all lines have now reopened. Services are returning to normal but may be subject to delays of up to 10 minutes. ℹ️👇https://t.co/uLaMDrl8pv,delays
16758,"The second most marginal seat in London is @HendonLabour, with a Tory majority of only 1,072 - join us for a BAME-led canvassing session to turn Hendon red! 🚩🧨🌹💥 📍Hendon Thameslink Station ⏰ 2pm 📆 Sunday 3 Nov",none
7290,"@TLRailUK Thank you! It was on the delayed 7:29 from Hurst Green to Bedford. I got off at st pancras at 8:40, and was roughly in the middle of the train. It’s a black bag with brown handles.",none
3848,@RAIL Ah yes the @TLRailUK ironing board seats specified I believe by DfT? With no WiFi - being expensively retrofitted - and no fold down tables -same. DfT should never be allowed to specify rolling stock procurement. As it is we end up with 5 car IEP with no gangway - ludicrous,tables
10921,"@kevingoode1979 @Danny_Kyle @TLRailUK Thameslink only use platforms 2, 4, 5. If routed via other platforms we don't release the doors",service
6355,"@TLRailUK I will be dontcha worry. Just haven't had info this poor since yesterday, but that was from @LNER and we were delayed an hour and a half instead, so they're currently winning 😂🤣",delays
5154,@TLRailUK @courtsbeth_ Same poop different toilet,vandalism
1441,(Thameslink Update) 23:01 Luton to Sutton Surrey due 00:44 - 23:01 Luton to Sutton Surrey due 00:44 has been delayed at Luton and is now 15 minutes late.,delays
10617,@easyJet evening! My friend is flying out of Nantes-Atlantiques. The flight has been delayed and this means she will miss her connections on @TLRailUK and @Se_Railway services to get home. Anything you can do to help her get home to south London? She is on flight EZY8968.,delays
7389,@TLRailUK Thanks very much. Hopefully the driver is aware of this as all the screens and tannoy state train terminating at ECR,none
5006,@TLRailUK @SouthernRailUK as a keyworker I am still having to travel into London day and night. Has consideration been given to automatic doors at all of the stations considering the current climate. Thanks 😊,doors
6102,"@TLRailUK I am aware but several passengers wear masks over mouths only or over their chins. Perhaps decorative, certainly not effective.",covid
4824,@TLRailUK @Iamverycross That still doesnt explain why no announcements. Are customers expected to research online by TLRail?,none
14278,Why has the delayed 18:41 from Farringdon to Peterborough not stopping at Sandy? This is appalling service as usual from Thameslink. @TLRailUK @Arleseycommuter @networkrail,delays
11102,@nationalrailenq ⚠️ Delays to Thameslink services through #StAlbans expected until 20:30,delays
66,#EastCroydon #LondonBridge #Victoria use https://t.co/Fh7tpMQDfK to check all your #delayrepay claims it’s free a quick for all @SouthernRailUK @TLRailUK @GatwickExpress services,delays
10029,@TLRailUK your automated announcements at #CityThameslink are mis-informing people by recommending services based in time tables rather than actual running times,delays
5629,@TLRailUK DELAY?! What a crock. Just wasted 45 mins going to & from West HT bc you ppl can’t run a decent train service. Now off to see whether East Mids any better. 🖕,delays
9975,"@TLRailUK yesterday, you claimed a person taken ill at 8am delayed trains even in the evening. Tonight it’s a signalling fault. We all know half your Drivers are off work & you don’t employ enough to cover. The annual pre Xmas p-take. @grantshapps do your job, get rid of Govia https://t.co/W39Z2f9ReO",delays
11447,"@timhumphrey444 @TLRailUK So far, on one supposed 47 min journey we've had 'trespassers on track', relief driver delayed' and 'obstruction on track'.",delays
5928,"@TLRailUK Hi Lola, I have been logged in the whole time. The trouble I have is that on navigating the online ticket booking system for about an hour, nowhere have I seen the 'toggle for key smartcard fares'. Can you provide more details on where I will find it (a screenshot perhaps??).",tickets/seat_reservations
6314,@TLRailUK I travelled on it as far as Lon b with no mention of a fault and the platform announcement was no relief driver for it so something's amiss info wise.... The 10 min wait for a driver for the next one suggests a recurring theme....,delays
15442,"@SouthernRailUK @TLRailUK let me list the ways I hate thee. I hate to trek across London because you didn’t provide a functional rail replacement service from Victoria, and now I’m in mild agony standing on a sardine packed thameslink train without any chance of a seat.",none
11911,Dear @TLRailUK please can you give my regards (in the form of a knuckle sandwich) to the idiot on the train near Blackfriars who thought it was a good idea to try & open the doors when not at a station & delaying my train or feel free to pass me their details! #thameslink #trains,none
6581,"@TLRailUK It’s half term, it’s Friday and of course there are major delays due to “signalling faults”. Really? Nothing to do with Drivers taking the day off and you not employing enough to cover shifts... @ChrisGraylingMP Do your job for once and get rid of these fraudsters!",delays
7398,"@TLRailUK Thanks, Olivia. Is there any way you can ensure the same information staff convey over tannoy announcements is also displayed on boards, or screen displays, for deaf passengers?",none
729,(Thameslink Update)  10:48 Luton to Rainham Kent due 13:11 - 10:48 Luton to Rainham Kent due 13:11 is being delayed between Elstree & Borehamwood and St Pancras International and is now expected to be 12 minutes late.,delays
1707,0918 Thameslink train to London Kings Cross: Delayed - plat 2 0924 Great Northern train to Watton-at-Stone: Delayed - plat 8 0922 Thameslink train to Brighton: expected 0927 - plat 2 0931 Thameslink train to London Kings Cross: expected 0933 - plat 2,delays
2523,@10DowningStreet @BorisJohnson @greateranglia @TLRailUK I've been on two trains so far today and on both were serveral people not wearing masks and staff didn't care or do anything! Thought this was supposed to be mandatory,covid
5346,"@TLRailUK All services - TL and Southern - thorough Mitcham Junction were late running this morning, although the PA system at my station doesn't work, and there is never any announcements about what's going on",delays
3109,@GNRailUK @TLRailUK your staff at HIT have no idea when buses will arrive or how many there will be. Hundreds of people waiting here needing help. @AlistairBurtUK,delays
8043,"@TLRailUK You have a issue with your new CIS screen, screen advertising the 15:02 to Three Bridges but platform announcements correctly advertise next train as 14:44 to Bedford. Screen is north end of Plat 3 https://t.co/uCi7sVE5DT",station
13073,"Remember the ""wet beds"" at #Northfleet? They disrupted @Se_Railway + @TLRailUK trains heading into London, but we are pleased to say the speed restriction has been raised to 40mph today and this will (almost) remove the delays. thank you for your patience! #TLUpdates",delays
16058,@TLRailUK the 11:19 Bedford to Brighton train is the most dirtiest train I’ve ever had the misfortune to ride on. 🤮,train_general
1216,(Thameslink Update) 16:30 Rainham Kent to Luton due 19:05 - 16:30 Rainham Kent to Luton due 19:05 is being delayed at St Pancras International.,delays
613,#Thameslink Delays of up to ten minutes on Thameslink between Gatwick Airport and Horsham due to passenger illness.,delays
9209,@TLRailUK ready to run into the face of danger on ICU... Oh wait https://t.co/aPZ4u5rObI,delays
720,(Thameslink Update)  10:05 Bedford to Gatwick Airport due 12:09 - 10:05 Bedford to Gatwick Airport due 12:09 will be delayed at St Albans City and is expected to be 5 minutes late.,delays
12092,First day on @TLRailUK everything is delayed or cancelled due to an operational incident glad to see your back to your old way of working and not taking into affect Social distancing while Shoving on a 8 car train .......,covid
2815,"@CjdHerts @TLRailUK Some have trays, but when the government ordered and paid for the class 700 trains in 2012 they wanted a clear uncluttered train",tables
14941,⚠️#TLUpdates - Services running via Charlton on our Luton to Rainham route are experiencing delays of up to 20 minutes as they run at reduced speed over a section of track affected by a signalling fault. Network Rail staff are en-route to the site. ℹ️👇https://t.co/VhCKUMzhMA,delays
3577,@MrTimDunn Seats make Thameslink comfy!,none
4269,"@SouthernRailUK @transportgovuk @TLRailUK @nationalrailenq Same day. Evening. @TLRailUK 18:11 train from City Thameslink delayed. So far by 8 minutes. Was also delayed by around 13 minutes yesterday. Problem is, it takes another 10 mins of my life applying for compensation.",delays
2098,1717 Thameslink train to London Kings Cross: expected 1726 - plat 1 1728 Great Northern train to Moorgate via Hertford North: Delayed - plat 4 1732 Thameslink train to Brighton: expected 1735 - plat 1 1740 Thameslink train to London Kings Cross: On time - plat 1,delays
15744,"@TLRailUK I’ve been telling you about this ‘sticky’ screen issue ever since these new screens were added, so why are you only now looking into it?",announcements
10257,"@VickiComms @TLRailUK I had the opposite experience once, but just as good: busy last train home delayed for ages on outskirts of London, late at night, driver - “We are currently waiting here, because .... ehhh, actually I don’t know the reason” [carriage erupts in laughter]",delays
16111,@TLRailUK why is there excessive noise at crofton park it’s been going on more than 10 minutes,station
12221,Great start to the week @TLRailUK less than half hour before a train is due and it’s cancelled due to a fault. At least that minuscule £1.70 delay repay that I will get back will soften the blow of wasting thirty minutes of my time! #Not,delays
2577,@Ain2oo1 @tlupdates @TLRailUK Plus it’s every day a delay using up the last excuses before the year ends 🤯🤦🏼‍♀️,delays
14248,Why are all the toilets locked on the train @TLRailUK #stuckonatrain,toilets
8891,@TLRailUK is there really any need to have the heating on when the train is so packed that we can barely breathe. We’re sweltering,hvac
6097,"@TLRailUK How long will these delays be continuing for?? Many hundreds of commuters are standing at Kentish Town station waiting for heavily delayed and packed trains to arrive, whilst empty trains whistle straight past. Once again, Thameslink delivers a shoddy and unreliable service.",delays
8953,@TLRailUK kindly explain why whenever there are significant delays northbound you cancel your trains at Hitchin?! Is it because you care more about timetable statistics than the people paying to be left in the rain? Genuinely interested in the reasoning.,delays
13827,Thanks @TLRailUK for changing the 19.01peterborough train from Finsbury park to platform 5 with so little time that I missed it. It was still on the board on platform 7 at 7pm. How are there only 2 trains going to Hitchin in an hour?! 4 trains cancelled. Totally rubbish.,delays
5262,@TLRailUK @ryaahashanii Again. Not responding to the issue. Why is the delay so bad???,delays
8678,@TLRailUK hi there - I’ve had a proper “blokey” moment and left a dress I was taking back to a shop for my fiancée on a seat in the waiting area on platform 3 at Luton Parkway. Now on the train into London 🙈. It’s says Hobbs on the packaging. How do I get it back? Thanks,none
7496,"@TLRailUK The 7.11 Thameslink from Upper Warlingham to Bedford missed its nightly clean. From where I am sitting I can see a Pret a Manger packet with a half eaten sandwich under a seat, a lettuce leaf, a yogurt top and a smear of barbeque sauce. Pleasant start to the day..... https://t.co/bAYuhhSZmY",vandalism
1277,(Thameslink Update) 17:46 Luton to Rainham Kent due 20:12 - 17:46 Luton to Rainham Kent due 20:12 has been delayed at London Blackfriars and is now 10 minutes late.,delays
6108,"@TLRailUK I am now very late for a meeting, was only getting this train as others delayed. Really not acceptable to change at such late notice and then no time to get off",delays
6621,@TLRailUK I’m on the 11:18 from Ravensbourne trying to get to St Pancras. If there’s delays between Blackfriars and St Pancras would you advise I get off at Elephant & Castle and get on the Northern Line to St Pancras?,delays
369,"#TLUpdates - Please leave extra time for your journey as services through City Thameslink may still be delayed, altered or cancelled as we recover service. ℹ️ More info 👇 https://t.co/JgBzQVAa6R",delays
2822,"@ClaireCoutinho @BorisJohnson @grantshapps @MattHancock @BTP @BTPLondon @NetworkRailLBG @TLRailUK 5/ …sat in, and (ii) they were either not wearing masks at all, or if they had masks and were wearing them their masks were worn ""under"" their chins or not covering their noses!",covid
9658,@TLRailUK what’s going on with the stationary 18:09 gnh from ctk? The driver just tried to make an announcement but you couldn’t hear him!,none
16298,A disabled woman had to jam her wheelchair between a pair of train doors so she could leave a ‘nightmare’ journey. https://t.co/WLYDJXrER2,none
12701,Living my best delayed Thameslink life. https://t.co/eIXaRSN4cu,delays
11278,"@roguetrader1980 @TLRailUK @ABCommuters @ABCEastRegion Hope no one waiting in a @MySabaUK car park for you and getting a fine for overstaying the 20mins, and hoping you're not parked anywhere and being delayed on your return to your car - lightning is beyond your control.",delays
8983,@TLRailUK maybe stop advertising WiFi on your trains if only 1 in 10 actually seem to have it?,wifi
3139,@GNRailUK Trying to buy tickets for Monday through on-line Thameslink site but get error when I go to pay screen (not Amazon pay). Is there a fault that will be corrected soon?,tickets/seat_reservations
5273,"@TLRailUK @timrobwalker Why should there be delays due to planned engineering works? The clue here is ""planned""!",delays
13689,Thameslink update: 18:27 Cambridge to London Kings Cross due 19:50 is being delayed at Cambridge. Download the Train Beacon iOS app today https://t.co/HH7mCmEhnH,delays
2080,1659 LNER train to Kings Cross: Delayed - plat 2 1704 LNER train to Kings Cross: Delayed - plat 2 1710 Thameslink train to Kings Cross: expected 1725 - plat 1 1728 Great Northern bus to Watton-at-Stone: On time 1730 Thameslink train to Cambridge: On time - plat 4,delays
2981,@EastMidRailway @TLRailUK Can you advise the best option to get to London from Corby now that your 11.40 train is cancelled.,delays
16039,@TLRailUK please do something about the awful screeching that happens whenever a train arrives or departs from St Pancras. I don’t know if it happens on both platforms but it definitely happens on Platform B.,none
2627,@AnnaLisHolck @TLRailUK Hi Anna @AnnaLisHolck my day got better as I had a lovely afternoon on the beach after finishing my voice over job. Just very stressful beginning. Social distancing totally thrown out the window on @TLRailUK. People need to wear masks!,covid
16634,"My father passed away on Sunday, I’m currently on a thameslink train sat in first class as they are the only seats with a table, creating my fathers order of service for his funeral. I politely explained this to the revenue inspector who is adamant at issuing a penalty fare. 1/2",none
6571,@TLRailUK Its an iphone X. I have put it in lost mode and displayed a contact number on the screen.,none
5625,"@TLRailUK Currently 15°C here, lower than the recognised minimum workplace temperature, why have we been left waiting over an hour with no toilet? https://t.co/xJbVywxg8p",toilets
13426,TRAVEL: NORMAL SERVICE RESUMED: 15 minute delays and some cancellations @SouthernRailUK @TLRailUK between #Purley and #Redhill due to a road vehicle hitting a bridge at #Merstham,delays
15046,✅ #TLUpdates Following the several trespasser incidents between Peterborough and Hitchin- Train services running through these stations are returning to normal but some services may still be delayed by up to 20 minutes.,delays
14805,⚠️ #TLUpdates - due to a fault with barriers at a level crossing between Royston and Cambridge trains have to run at reduced speed on all lines. Delays of up to 10 mins are expected. ℹ️More info and check your journey 👇 https://t.co/iYMraBkjSy,delays
1909,1338 Thameslink train to Kings Cross: Delayed - plat 2 1344 Thameslink train to Kings Cross: Delayed - plat 2 1352 Thameslink train to Brighton: expected 1401 - plat 4 1404 Thameslink train to Royston: Delayed - plat 7 1407 Great Northern train to Moorgate: On time - plat 1,delays
312,"#TLUpdates - If you have been delayed by 15 minutes or more, please visit https://t.co/FN8aTZmEO9 to claim compensation. We are aware there are a number of trains between stations we are working to move these as quickly as possible.",delays
9519,@TLRailUK travelling on train 78507 from London Bridge. Love sunshine but it's not that hot for blasting air con that cold. Please warm us up!,air conditioning
14937,"⚠️#TLUpdates - Services running through Potters Bar and Welwyn Garden City may be subject to delays of up to 30 minutes following an earlier broken down train. ℹ️Travel advice, service info and ticket acceptance👉https://t.co/ZrmSfPsDwC https://t.co/MBmLJp8VvW",delays
